Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08
Coquimbo,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2495.0,6198.0,8197.0,8705.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,12770.0,17621.0,22445.0,22453.0,22453.0,30281.0,39146.0,49223.0,58807.0,67612.0,68093.0,68093.0,79285.0,88127.0,96177.0,103095.0,109573.0,109617.0,109622.0,115834.0,121094.0,125679.0,130495.0,134456.0,134592.0,134592.0,142052.0,150065.0,157625.0,163988.0,169549.0,169599.0,169599.0,175598.0,181846.0,187539.0,194047.0,199680.0,199885.0,199885.0,206270.0,212927.0,218694.0,224338.0,229786.0,229888.0,229888.0,235881.0,241728.0,247853.0,254178.0,260918.0,261351.0,261351.0,267218.0,272736.0,277747.0,283332.0,283341.0,283341.0,283343.0,287266.0,291804.0,295979.0,299402.0
Coquimbo,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2763.0,6431.0,8042.0,8545.0,8557.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8593.0,8597.0,8610.0,8639.0,8642.0,8642.0,8642.0,8646.0,8710.0,12376.0,16953.0,21462.0,21481.0,21482.0,28889.0,37430.0,47444.0,56685.0,65251.0,65607.0,65609.0,77655.0,87843.0,97432.0,106447.0,113849.0,113897.0,113900.0,121129.0,125340.0,128390.0,130832.0,133241.0,133319.0,133320.0,138946.0,145981.0,153054.0,159568.0,159670.0,159672.0,159675.0,169348.0,176049.0,181608.0,187602.0
Araucanía,Primera,0.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,946.0,13338.0,22448.0,30502.0,31631.0,31633.0,42806.0,57229.0,72079.0,86313.0,100192.0,102267.0,102268.0,118674.0,132771.0,143392.0,152461.0,160758.0,161140.0,161140.0,168619.0,175433.0,181200.0,186065.0,191185.0,191799.0,191800.0,199322.0,209515.0,217987.0,225514.0,232554.0,232965.0,232965.0,240927.0,248760.0,256768.0,266766.0,275943.0,276641.0,276641.0,285646.0,295028.0,303395.0,311193.0,318813.0,319237.0,319237.0,326507.0,333625.0,340988.0,348097.0,355248.0,355537.0,355537.0,362649.0,368728.0,374129.0,380108.0,380125.0,380142.0,380142.0,383946.0,388554.0,393223.0,396663.0
Araucanía,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,703.0,716.0,716.0,716.0,717.0,1025.0,12144.0,20926.0,28657.0,29856.0,29860.0,40695.0,54196.0,68603.0,82408.0,96202.0,98120.0,98128.0,114875.0,130192.0,142009.0,152097.0,161644.0,161942.0,161943.0,169526.0,175271.0,180287.0,184111.0,187702.0,187779.0,187779.0,194606.0,203831.0,211790.0,219936.0,220300.0,220316.0,220316.0,232644.0,240884.0,248880.0,258092.0
Los Lagos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,542.0,542.0,543.0,543.0,543.0,543.0,543.0,543.0,802.0,9742.0,18286.0,26911.0,30495.0,31181.0,44057.0,57028.0,70060.0,82191.0,93499.0,96641.0,96765.0,110869.0,121567.0,129266.0,135967.0,142301.0,142687.0,142694.0,148302.0,153551.0,158614.0,163569.0,169040.0,169378.0,169378.0,175434.0,182098.0,188563.0,194296.0,199541.0,200322.0,200433.0,206386.0,212842.0,218953.0,226003.0,232699.0,234177.0,234192.0,241330.0,249496.0,256290.0,263015.0,268317.0,269245.0,269253.0,275199.0,282140.0,289739.0,297198.0,303974.0,304525.0,304525.0,310329.0,316307.0,322561.0,329116.0,329121.0,329128.0,329128.0,333058.0,337695.0,342109.0,344998.0
Los Lagos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,501.0,530.0,530.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,538.0,539.0,539.0,539.0,839.0,1569.0,9651.0,17669.0,25541.0,28432.0,28749.0,40897.0,53144.0,65661.0,77735.0,88611.0,91573.0,91638.0,105891.0,118895.0,128546.0,137221.0,143934.0,144328.0,144339.0,151779.0,157385.0,161378.0,164333.0,166715.0,166753.0,166753.0,171324.0,176873.0,183253.0,189731.0,189743.0,189748.0,189749.0,198539.0,204837.0,210865.0,215932.0
Los Ríos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,770.0,5511.0,10191.0,14574.0,15140.0,15657.0,21112.0,28010.0,35141.0,42233.0,47638.0,48446.0,48889.0,54486.0,58345.0,61683.0,64673.0,67468.0,67541.0,67595.0,70589.0,73051.0,75188.0,77108.0,78664.0,78683.0,78684.0,80687.0,84536.0,88730.0,92195.0,95043.0,95199.0,95234.0,98715.0,102473.0,105758.0,109973.0,113068.0,113217.0,113347.0,116959.0,120837.0,123963.0,126427.0,129182.0,129315.0,129516.0,132801.0,135902.0,139135.0,143063.0,147088.0,147248.0,147252.0,150466.0,152924.0,155309.0,157871.0,157998.0,158124.0,158191.0,159704.0,161379.0,162895.0,164316.0
Los Ríos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,616.0,4865.0,9316.0,13707.0,14215.0,14596.0,19750.0,26493.0,33430.0,40382.0,45590.0,46390.0,46862.0,52731.0,57778.0,61999.0,65645.0,68783.0,68926.0,68980.0,72151.0,74131.0,75484.0,76760.0,77748.0,77782.0,77784.0,79153.0,82406.0,86143.0,90292.0,90554.0,90662.0,90695.0,95287.0,99088.0,102257.0,105646.0
Magallanes,Primera,0.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,222.0,3607.0,6713.0,8985.0,9021.0,9021.0,12183.0,15501.0,20137.0,23655.0,26709.0,26715.0,26721.0,30332.0,32714.0,35309.0,37069.0,38789.0,38991.0,39001.0,39849.0,40569.0,41482.0,42480.0,43318.0,43406.0,43406.0,45574.0,47966.0,50161.0,51921.0,53452.0,53461.0,53465.0,54727.0,56027.0,57243.0,58920.0,60171.0,60175.0,60216.0,61669.0,63470.0,64748.0,66177.0,67577.0,67590.0,67601.0,69181.0,70606.0,72172.0,73536.0,75468.0,75479.0,75481.0,76844.0,78097.0,79364.0,80725.0,80726.0,80726.0,80726.0,81591.0,82883.0,84179.0,85055.0
Magallanes,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,157.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,165.0,165.0,165.0,165.0,165.0,210.0,3311.0,6244.0,8472.0,8518.0,8520.0,11642.0,14750.0,19184.0,22716.0,25743.0,25755.0,25762.0,29352.0,32045.0,35148.0,37421.0,39284.0,39296.0,39298.0,40187.0,41036.0,41477.0,42101.0,42644.0,42653.0,42653.0,44246.0,46829.0,48967.0,50814.0,50815.0,50819.0,50821.0,52762.0,54288.0,55529.0,57022.0
Tarapacá,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,334.0,2496.0,4512.0,6928.0,7469.0,7469.0,10864.0,14866.0,19680.0,23996.0,28214.0,28385.0,28385.0,33619.0,38455.0,41936.0,44135.0,46280.0,46389.0,46389.0,47965.0,49678.0,52052.0,54199.0,55711.0,55784.0,55784.0,57687.0,59598.0,61300.0,63083.0,65078.0,65188.0,65188.0,67068.0,68798.0,70369.0,72497.0,74653.0,74855.0,74855.0,77140.0,79671.0,82021.0,84413.0,86991.0,87230.0,87230.0,89624.0,92054.0,94728.0,96963.0,99686.0,99790.0,99790.0,102259.0,104412.0,106405.0,108335.0,108363.0,108391.0,108431.0,110253.0,112409.0,114594.0,116202.0
Tarapacá,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,158.0,158.0,158.0,159.0,159.0,159.0,159.0,159.0,291.0,2217.0,4143.0,6411.0,6919.0,6919.0,10147.0,14041.0,18577.0,22657.0,26778.0,26981.0,26981.0,32039.0,37443.0,42311.0,45964.0,48651.0,48813.0,48813.0,50678.0,51761.0,52723.0,53502.0,54374.0,54427.0,54427.0,56015.0,57714.0,59359.0,61485.0,61486.0,61486.0,61488.0,64436.0,66398.0,68192.0,70082.0
Valparaíso,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1424.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,3092.0,19410.0,37408.0,56784.0,58070.0,58108.0,85903.0,116224.0,149500.0,180747.0,208592.0,209921.0,209921.0,243716.0,273485.0,297896.0,318546.0,337074.0,337753.0,337866.0,349231.0,358371.0,366186.0,374823.0,384426.0,388102.0,388118.0,401456.0,419743.0,440269.0,459214.0,477039.0,477341.0,477341.0,493394.0,508833.0,524496.0,545953.0,563700.0,564924.0,564924.0,581345.0,599742.0,616830.0,635185.0,651781.0,652888.0,653098.0,668487.0,683088.0,698782.0,714530.0,731048.0,731418.0,731445.0,748245.0,762300.0,775068.0,788909.0,789071.0,789262.0,789302.0,797168.0,806903.0,816628.0,824172.0
Valparaíso,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,1424.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1431.0,1438.0,1454.0,1455.0,1455.0,1456.0,2916.0,18113.0,35337.0,53903.0,55026.0,55033.0,81824.0,111333.0,143540.0,173963.0,201220.0,202236.0,202248.0,235222.0,267643.0,294886.0,320095.0,339195.0,339872.0,339948.0,354702.0,366460.0,373278.0,378889.0,383353.0,383439.0,383463.0,395869.0,411672.0,431838.0,453943.0,454520.0,454732.0,454753.0,479145.0,495694.0,511199.0,531403.0
