Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06
Coquimbo,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2495.0,6198.0,8197.0,8705.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,12770.0,17621.0,22446.0,22454.0,22454.0,30282.0,39147.0,49223.0,58807.0,67612.0,68093.0,68093.0,79285.0,88127.0,96177.0,103095.0,109572.0,109616.0,109621.0,115833.0,121093.0,125677.0,130493.0,134454.0,134590.0,134590.0,142049.0,150062.0,157622.0,163985.0,169542.0,169592.0,169592.0,175588.0,181790.0,187480.0,193982.0,199615.0,199820.0,199820.0,206205.0,212861.0,218627.0,224269.0,229717.0,229819.0,229819.0,235809.0,241656.0,247781.0,254106.0,260845.0,261278.0,261278.0,267145.0,272663.0,277597.0,283029.0,283038.0,283038.0,283040.0,286818.0,290955.0
Coquimbo,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2763.0,6431.0,8042.0,8545.0,8557.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8593.0,8597.0,8610.0,8639.0,8642.0,8642.0,8642.0,8646.0,8710.0,12376.0,16953.0,21462.0,21481.0,21482.0,28885.0,37380.0,47389.0,56630.0,65197.0,65553.0,65555.0,77600.0,87777.0,97366.0,106381.0,113781.0,113829.0,113832.0,121061.0,125272.0,128322.0,130764.0,133173.0,133251.0,133252.0,138876.0,145909.0,152902.0,159351.0,159453.0,159455.0,159458.0,168881.0,175118.0
Araucanía,Primera,0.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,946.0,13338.0,22448.0,30502.0,31631.0,31633.0,42806.0,57231.0,72081.0,86314.0,100193.0,102268.0,102269.0,118675.0,132772.0,143393.0,152462.0,160759.0,161141.0,161141.0,168620.0,175433.0,181200.0,186065.0,191185.0,191799.0,191800.0,199322.0,209515.0,217986.0,225513.0,232553.0,232963.0,232963.0,240925.0,248756.0,256762.0,266758.0,275935.0,276633.0,276633.0,285639.0,295020.0,303387.0,311186.0,318806.0,319230.0,319230.0,326501.0,333619.0,340982.0,348091.0,355242.0,355531.0,355531.0,362643.0,368721.0,374118.0,380094.0,380111.0,380128.0,380128.0,383924.0,388166.0
Araucanía,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,703.0,716.0,716.0,716.0,717.0,1025.0,12144.0,20926.0,28657.0,29856.0,29860.0,40695.0,54197.0,68604.0,82406.0,96199.0,98117.0,98125.0,114871.0,130187.0,142004.0,152092.0,161639.0,161937.0,161938.0,169521.0,175267.0,180283.0,184107.0,187696.0,187773.0,187773.0,194596.0,203822.0,211780.0,219922.0,220286.0,220302.0,220302.0,232609.0,240357.0
Los Lagos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,542.0,542.0,543.0,543.0,543.0,543.0,543.0,543.0,802.0,9742.0,18287.0,26912.0,30496.0,31182.0,44059.0,57030.0,70062.0,82190.0,93498.0,96640.0,96764.0,110867.0,121565.0,129264.0,135965.0,142299.0,142685.0,142692.0,148300.0,153549.0,158611.0,163566.0,169038.0,169376.0,169376.0,175432.0,182096.0,188561.0,194292.0,199534.0,200315.0,200426.0,206376.0,212831.0,218941.0,225961.0,232656.0,234134.0,234149.0,241288.0,249454.0,256248.0,262945.0,268247.0,269175.0,269183.0,275129.0,282070.0,289669.0,297129.0,303905.0,304456.0,304456.0,310259.0,316235.0,322470.0,329023.0,329028.0,329035.0,329035.0,332933.0,337319.0
Los Lagos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,501.0,530.0,530.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,538.0,539.0,539.0,539.0,839.0,1569.0,9650.0,17667.0,25538.0,28429.0,28746.0,40894.0,53141.0,65641.0,77665.0,88540.0,91502.0,91567.0,105818.0,118821.0,128471.0,137129.0,143842.0,144236.0,144247.0,151687.0,157293.0,161285.0,164240.0,166624.0,166662.0,166662.0,171234.0,176781.0,183160.0,189635.0,189647.0,189652.0,189653.0,198405.0,204453.0
Los Ríos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,770.0,5511.0,10191.0,14574.0,15140.0,15657.0,21112.0,28010.0,35141.0,42233.0,47637.0,48445.0,48888.0,54485.0,58344.0,61682.0,64672.0,67467.0,67540.0,67594.0,70588.0,73050.0,75187.0,77107.0,78663.0,78682.0,78683.0,80686.0,84535.0,88729.0,92194.0,95043.0,95199.0,95234.0,98713.0,102470.0,105752.0,109961.0,113056.0,113205.0,113335.0,116947.0,120825.0,123951.0,126415.0,129169.0,129302.0,129503.0,132786.0,135887.0,139117.0,143045.0,147070.0,147230.0,147234.0,150448.0,152906.0,155291.0,157853.0,157980.0,158106.0,158173.0,159685.0,161206.0
Los Ríos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,616.0,4865.0,9316.0,13707.0,14215.0,14596.0,19749.0,26490.0,33426.0,40378.0,45585.0,46385.0,46857.0,52725.0,57772.0,61993.0,65639.0,68761.0,68904.0,68958.0,72128.0,74104.0,75457.0,76733.0,77721.0,77755.0,77757.0,79126.0,82379.0,86116.0,90262.0,90524.0,90632.0,90665.0,95215.0,98716.0
Magallanes,Primera,0.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,222.0,3607.0,6713.0,8985.0,9021.0,9021.0,12183.0,15501.0,20137.0,23655.0,26709.0,26715.0,26721.0,30332.0,32714.0,35309.0,37069.0,38789.0,38991.0,39001.0,39849.0,40569.0,41482.0,42480.0,43318.0,43406.0,43406.0,45574.0,47966.0,50161.0,51921.0,53453.0,53462.0,53466.0,54728.0,56028.0,57244.0,58921.0,60172.0,60176.0,60177.0,61630.0,63431.0,64709.0,66138.0,67532.0,67545.0,67556.0,69136.0,70561.0,72127.0,73491.0,75423.0,75434.0,75436.0,76799.0,78052.0,79319.0,80680.0,80681.0,80681.0,80681.0,81549.0,82716.0
Magallanes,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,157.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,165.0,165.0,165.0,165.0,165.0,210.0,3311.0,6244.0,8471.0,8517.0,8519.0,11641.0,14748.0,19182.0,22713.0,25740.0,25752.0,25759.0,29349.0,32042.0,35145.0,37418.0,39281.0,39293.0,39295.0,40184.0,41033.0,41474.0,42098.0,42641.0,42650.0,42650.0,44243.0,46825.0,48962.0,50808.0,50809.0,50813.0,50815.0,52765.0,54260.0
Tarapacá,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,334.0,2496.0,4512.0,6928.0,7469.0,7469.0,10864.0,14866.0,19680.0,23996.0,28214.0,28385.0,28385.0,33619.0,38455.0,41936.0,44137.0,46282.0,46391.0,46391.0,47967.0,49680.0,52054.0,54201.0,55713.0,55786.0,55786.0,57689.0,59600.0,61301.0,63084.0,65080.0,65190.0,65190.0,67070.0,68800.0,70370.0,72495.0,74651.0,74853.0,74853.0,77138.0,79669.0,82019.0,84411.0,86989.0,87228.0,87228.0,89622.0,92052.0,94726.0,96961.0,99684.0,99788.0,99788.0,102257.0,104410.0,106403.0,108333.0,108361.0,108389.0,108429.0,110251.0,112286.0
Tarapacá,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,158.0,158.0,158.0,159.0,159.0,159.0,159.0,159.0,291.0,2217.0,4143.0,6411.0,6919.0,6919.0,10147.0,14041.0,18577.0,22657.0,26778.0,26981.0,26981.0,32039.0,37443.0,42311.0,45964.0,48651.0,48813.0,48813.0,50678.0,51761.0,52723.0,53502.0,54374.0,54427.0,54427.0,56015.0,57714.0,59359.0,61487.0,61488.0,61488.0,61490.0,64437.0,66288.0
Valparaíso,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1424.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,3092.0,19410.0,37408.0,56784.0,58070.0,58108.0,85904.0,116225.0,149501.0,180748.0,208593.0,209922.0,209922.0,243717.0,273486.0,297897.0,318547.0,337075.0,337754.0,337867.0,349232.0,358372.0,366188.0,374825.0,384428.0,388104.0,388120.0,401458.0,419744.0,440269.0,459213.0,477039.0,477341.0,477341.0,493392.0,508828.0,524464.0,545797.0,563520.0,564744.0,564744.0,581165.0,599523.0,616611.0,634964.0,651558.0,652665.0,652875.0,668155.0,682676.0,698300.0,713970.0,730390.0,730760.0,730787.0,747585.0,761641.0,774409.0,788026.0,788188.0,788379.0,788419.0,796216.0,805587.0
Valparaíso,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,1424.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1431.0,1438.0,1454.0,1455.0,1455.0,1456.0,2916.0,18113.0,35334.0,53898.0,55021.0,55028.0,81820.0,111329.0,143534.0,173954.0,201144.0,202160.0,202172.0,235145.0,267506.0,294748.0,319954.0,339053.0,339730.0,339806.0,354508.0,366216.0,373017.0,378610.0,383060.0,383146.0,383170.0,395574.0,411376.0,431542.0,453494.0,454071.0,454283.0,454305.0,478457.0,494721.0
