Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11
Ñuble,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719.0,5437.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7824.0,13474.0,20179.0,26378.0,26614.0,26730.0,33939.0,41779.0,50879.0,61240.0,70069.0,70365.0,70615.0,78110.0,84464.0,90367.0,95516.0,99852.0,100051.0,100051.0,104115.0,107921.0,111201.0,114485.0,117141.0,117195.0,117253.0,120769.0,124775.0,128313.0,131173.0,133536.0,133615.0,133651.0,138267.0,143245.0,148131.0,149628.0
Ñuble,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,5686.0,7652.0,7699.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7706.0,7709.0,7721.0,7730.0,7734.0,7734.0,7734.0,7738.0,7859.0,13177.0,19531.0,25363.0,25498.0,25625.0,32839.0,40190.0,48634.0,51458.0
Biobío,Primera,0.0,1388.0,2044.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2092.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,6313.0,28271.0,46732.0,63170.0,67333.0,69960.0,93395.0,120830.0,152341.0,181059.0,202962.0,206199.0,207478.0,228725.0,245584.0,259979.0,270845.0,280775.0,281913.0,282305.0,290810.0,298539.0,306296.0,315518.0,322295.0,322643.0,322801.0,334224.0,347498.0,360767.0,372864.0,383544.0,384176.0,384392.0,396188.0,409197.0,421519.0,425603.0
Biobío,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1421.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1995.0,2076.0,2113.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2120.0,2120.0,2120.0,2120.0,2120.0,2120.0,2128.0,4840.0,25076.0,42823.0,58333.0,62216.0,64529.0,86452.0,113291.0,142727.0,150602.0
O’Higgins,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2190.0,7924.0,10280.0,11577.0,11652.0,11652.0,11652.0,11652.0,11652.0,11652.0,11652.0,11652.0,11652.0,11652.0,11652.0,11895.0,18957.0,28325.0,37211.0,38329.0,38388.0,48253.0,57692.0,70878.0,82050.0,93172.0,94385.0,94405.0,109498.0,122492.0,133811.0,142839.0,150555.0,150986.0,150998.0,157317.0,162797.0,167708.0,172568.0,176322.0,176646.0,176646.0,186117.0,196081.0,205359.0,213384.0,221242.0,221601.0,221603.0,229703.0,237649.0,245219.0,248226.0
O’Higgins,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2543.0,8048.0,10227.0,11372.0,11454.0,11454.0,11454.0,11454.0,11454.0,11454.0,11454.0,11454.0,11454.0,11454.0,11462.0,11465.0,11479.0,11486.0,11498.0,11498.0,11498.0,11515.0,11784.0,18559.0,27636.0,36386.0,37232.0,37259.0,47125.0,56259.0,68848.0,72503.0
Maule,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,1669.0,14326.0,26647.0,39889.0,43788.0,46416.0,61112.0,76149.0,92675.0,107669.0,120350.0,121794.0,122380.0,136445.0,149412.0,161014.0,170098.0,179036.0,179407.0,179571.0,186713.0,193135.0,199003.0,204780.0,211213.0,211492.0,211498.0,219059.0,228516.0,237410.0,244769.0,251367.0,252120.0,252370.0,260533.0,269320.0,278289.0,280852.0
Maule,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,501.0,504.0,504.0,504.0,509.0,509.0,509.0,516.0,1430.0,13059.0,24887.0,37481.0,41289.0,43632.0,57918.0,72424.0,87390.0,91864.0
Metropolitana,Primera,420.0,2934.0,5418.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,7069.0,7942.0,7965.0,7965.0,7965.0,7965.0,7965.0,7981.0,7991.0,7991.0,7991.0,7997.0,8007.0,8007.0,8007.0,8007.0,8007.0,8007.0,8007.0,12105.0,71905.0,135236.0,197858.0,208182.0,210106.0,293801.0,385105.0,486802.0,577854.0,664732.0,678575.0,680315.0,784584.0,870147.0,944524.0,1005658.0,1062055.0,1067317.0,1067722.0,1105056.0,1135693.0,1163678.0,1191619.0,1215505.0,1219303.0,1219415.0,1276259.0,1339128.0,1403005.0,1464468.0,1523365.0,1529078.0,1529487.0,1582467.0,1634816.0,1685500.0,1704559.0
Metropolitana,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,3550.0,5473.0,5540.0,5540.0,5540.0,5541.0,5541.0,5541.0,5541.0,5541.0,5541.0,5652.0,5653.0,5653.0,5653.0,5653.0,5653.0,5653.0,5653.0,5653.0,5653.0,6924.0,7588.0,7593.0,7593.0,7603.0,7753.0,7811.0,7826.0,7837.0,7837.0,7837.0,7837.0,7847.0,7847.0,7847.0,7847.0,7847.0,7847.0,7849.0,7849.0,7852.0,7889.0,7903.0,7904.0,7904.0,7946.0,11630.0,63835.0,123877.0,184261.0,192690.0,193983.0,274642.0,365011.0,463701.0,495687.0
