Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29
Coquimbo,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2495.0,6198.0,8197.0,8705.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,12770.0,17624.0,22450.0,22458.0,22458.0,30284.0,39148.0,49224.0,58808.0,67613.0,68094.0,68094.0,79287.0,88129.0,96179.0,103093.0,109570.0,109614.0,109619.0,115831.0,121091.0,125675.0,130490.0,134451.0,134587.0,134587.0,142046.0,150053.0,157561.0,163916.0,169460.0,169510.0,169510.0,175517.0,181707.0,187393.0,193881.0,199519.0,199724.0,199724.0,206104.0,212759.0,218486.0,224066.0,229461.0,229563.0,229563.0,235552.0,241394.0,247393.0,253550.0,260115.0,260483.0,260483.0,265935.0
Coquimbo,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2763.0,6431.0,8042.0,8545.0,8557.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8593.0,8597.0,8610.0,8639.0,8642.0,8642.0,8642.0,8646.0,8710.0,12361.0,16939.0,21451.0,21470.0,21471.0,28872.0,37365.0,47373.0,56613.0,65096.0,65452.0,65454.0,77454.0,87632.0,97160.0,106115.0,113441.0,113489.0,113492.0,120721.0,124930.0,127978.0,130265.0,132539.0,132617.0,132618.0,137780.0
Araucanía,Primera,0.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,946.0,13340.0,22450.0,30504.0,31633.0,31635.0,42808.0,57235.0,72085.0,86318.0,100198.0,102273.0,102274.0,118680.0,132777.0,143398.0,152467.0,160764.0,161146.0,161146.0,168625.0,175438.0,181204.0,186069.0,191189.0,191802.0,191803.0,199325.0,209516.0,217981.0,225508.0,232542.0,232952.0,232952.0,240909.0,248738.0,256744.0,266732.0,275906.0,276604.0,276604.0,285604.0,294986.0,303350.0,311147.0,318763.0,319187.0,319187.0,326453.0,333568.0,340931.0,348040.0,355154.0,355443.0,355443.0,362131.0
Araucanía,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,703.0,716.0,716.0,716.0,717.0,1025.0,12143.0,20923.0,28653.0,29852.0,29856.0,40691.0,54187.0,68594.0,82391.0,96183.0,98101.0,98109.0,114855.0,130171.0,141988.0,152076.0,161620.0,161918.0,161919.0,169501.0,175238.0,180254.0,184077.0,187652.0,187729.0,187729.0,194292.0
Los Lagos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,542.0,542.0,543.0,543.0,543.0,543.0,543.0,543.0,802.0,9742.0,18287.0,26912.0,30496.0,31182.0,44059.0,57031.0,70060.0,82188.0,93496.0,96638.0,96762.0,110864.0,121561.0,129258.0,135959.0,142293.0,142679.0,142686.0,148294.0,153544.0,158606.0,163561.0,169034.0,169372.0,169372.0,175428.0,182087.0,188551.0,194279.0,199514.0,200296.0,200407.0,206347.0,212795.0,218906.0,225920.0,232617.0,234095.0,234110.0,241247.0,249391.0,256183.0,262880.0,268179.0,269107.0,269115.0,275060.0,282001.0,289592.0,297022.0,303796.0,304347.0,304347.0,309937.0
Los Lagos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,501.0,530.0,530.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,538.0,539.0,539.0,539.0,839.0,1569.0,9646.0,17660.0,25505.0,28396.0,28713.0,40840.0,53090.0,65586.0,77605.0,88480.0,91442.0,91507.0,105756.0,118759.0,128407.0,137064.0,143775.0,144169.0,144180.0,151603.0,157208.0,161195.0,164122.0,166491.0,166529.0,166529.0,170960.0
Los Ríos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,770.0,5511.0,10191.0,14574.0,15140.0,15657.0,21112.0,28010.0,35141.0,42233.0,47637.0,48445.0,48888.0,54485.0,58344.0,61682.0,64672.0,67467.0,67540.0,67594.0,70588.0,73050.0,75187.0,77107.0,78663.0,78682.0,78683.0,80685.0,84531.0,88719.0,92180.0,95024.0,95177.0,95212.0,98686.0,102442.0,105724.0,109933.0,113028.0,113177.0,113307.0,116914.0,120792.0,123919.0,126382.0,129137.0,129270.0,129471.0,132754.0,135855.0,139085.0,143010.0,147035.0,147195.0,147199.0,150199.0
Los Ríos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,616.0,4866.0,9316.0,13707.0,14215.0,14596.0,19748.0,26488.0,33424.0,40375.0,45581.0,46381.0,46853.0,52719.0,57765.0,62026.0,65632.0,68754.0,68897.0,68951.0,72121.0,74097.0,75450.0,76726.0,77714.0,77748.0,77750.0,79029.0
Magallanes,Primera,0.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,222.0,3607.0,6713.0,8986.0,9022.0,9022.0,12184.0,15502.0,20138.0,23656.0,26710.0,26716.0,26722.0,30333.0,32715.0,35310.0,37070.0,38790.0,38992.0,39002.0,39850.0,40570.0,41483.0,42481.0,43319.0,43407.0,43407.0,45575.0,47967.0,50161.0,51921.0,53451.0,53460.0,53464.0,54724.0,56022.0,57238.0,58915.0,60166.0,60170.0,60171.0,61624.0,63425.0,64703.0,66132.0,67525.0,67538.0,67549.0,69129.0,70554.0,72120.0,73484.0,75416.0,75427.0,75429.0,76617.0
Magallanes,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,157.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,165.0,165.0,165.0,165.0,165.0,210.0,3311.0,6244.0,8471.0,8517.0,8519.0,11640.0,14747.0,19181.0,22712.0,25739.0,25751.0,25758.0,29348.0,32041.0,35144.0,37417.0,39279.0,39291.0,39293.0,40182.0,41031.0,41472.0,42096.0,42638.0,42646.0,42646.0,44224.0
Tarapacá,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,334.0,2496.0,4512.0,6928.0,7469.0,7469.0,10864.0,14866.0,19680.0,23996.0,28214.0,28385.0,28385.0,33619.0,38455.0,41936.0,44137.0,46282.0,46391.0,46391.0,47967.0,49680.0,52054.0,54201.0,55713.0,55786.0,55786.0,57689.0,59599.0,61300.0,63081.0,65077.0,65187.0,65187.0,67067.0,68796.0,70366.0,72491.0,74647.0,74849.0,74849.0,77136.0,79667.0,82017.0,84409.0,86987.0,87226.0,87226.0,89620.0,92050.0,94724.0,96959.0,99682.0,99786.0,99786.0,102128.0
Tarapacá,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,158.0,158.0,158.0,159.0,159.0,159.0,159.0,159.0,291.0,2216.0,4142.0,6410.0,6918.0,6918.0,10145.0,14039.0,18575.0,22655.0,26776.0,26979.0,26979.0,32036.0,37440.0,42308.0,45961.0,48648.0,48810.0,48810.0,50675.0,51758.0,52720.0,53499.0,54371.0,54424.0,54424.0,55938.0
Valparaíso,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1424.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,3092.0,19410.0,37408.0,56784.0,58070.0,58108.0,85905.0,116224.0,149501.0,180748.0,208593.0,209922.0,209922.0,243717.0,273486.0,297896.0,318547.0,337075.0,337754.0,337867.0,349232.0,358372.0,366187.0,374825.0,384428.0,388104.0,388120.0,401457.0,419736.0,440254.0,459190.0,477003.0,477303.0,477303.0,493339.0,508772.0,524409.0,545709.0,563372.0,564594.0,564594.0,581011.0,599368.0,616453.0,634804.0,651398.0,652505.0,652715.0,667991.0,682513.0,698137.0,713789.0,730118.0,730488.0,730515.0,746684.0
Valparaíso,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,1424.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1431.0,1438.0,1454.0,1455.0,1455.0,1456.0,2916.0,18111.0,35329.0,53891.0,55014.0,55021.0,81814.0,111322.0,143526.0,173901.0,200995.0,202011.0,202023.0,234992.0,267352.0,294593.0,319799.0,338894.0,339569.0,339641.0,354341.0,366041.0,372837.0,378417.0,382857.0,382943.0,382967.0,394963.0
Ñuble,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719.0,5437.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7824.0,13474.0,20180.0,26378.0,26614.0,26730.0,33941.0,41782.0,50891.0,61261.0,70097.0,70392.0,70643.0,78140.0,84506.0,90413.0,95566.0,99905.0,100104.0,100104.0,104172.0,107983.0,111266.0,114550.0,117206.0,117260.0,117318.0,120834.0,124841.0,128384.0,131245.0,133617.0,133696.0,133732.0,138350.0,143394.0,148359.0,154305.0,159389.0,159595.0,159806.0,165633.0,171403.0,176167.0,180421.0,184412.0,184638.0,184844.0,188718.0,192692.0,196808.0,200837.0,204822.0,204864.0,204923.0,208395.0
Ñuble,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,5686.0,7652.0,7699.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7706.0,7709.0,7721.0,7730.0,7734.0,7734.0,7734.0,7738.0,7859.0,13178.0,19536.0,25368.0,25503.0,25630.0,32847.0,40408.0,49270.0,58983.0,67348.0,67709.0,67951.0,75814.0,82665.0,89327.0,95302.0,99907.0,99946.0,99955.0,104562.0,108037.0,110764.0,113047.0,114795.0,114878.0,114892.0,117629.0
Biobío,Primera,0.0,1388.0,2044.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2092.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,6314.0,28223.0,46737.0,63173.0,67337.0,69964.0,93388.0,120859.0,152385.0,181073.0,203020.0,206260.0,207539.0,228811.0,245691.0,260114.0,271038.0,280972.0,282111.0,282503.0,291012.0,298750.0,306514.0,315740.0,322523.0,322871.0,323029.0,334460.0,347737.0,361012.0,373110.0,383813.0,384447.0,384663.0,396487.0,409577.0,422165.0,439488.0,454538.0,457743.0,458614.0,473663.0,489743.0,504358.0,518007.0,530534.0,533197.0,534354.0,546662.0,559399.0,571833.0,583775.0,597352.0,597955.0,597980.0,610089.0
