Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03
Coquimbo,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2495.0,6198.0,8197.0,8705.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,12768.0,17615.0,22431.0,22439.0,22439.0,30253.0,39103.0,49170.0,58710.0,67527.0,68008.0,68008.0,79108.0,87887.0,95878.0,102757.0,109195.0,109237.0,109242.0,115435.0,120629.0,125200.0,129999.0,133919.0,134048.0,134048.0,141335.0,148898.0,151091.0
Coquimbo,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2762.0,6430.0,8040.0,8542.0,8554.0,8588.0,8588.0,8588.0,8588.0,8588.0,8588.0,8588.0,8588.0,8588.0,8590.0,8594.0,8607.0,8636.0,8639.0,8639.0,8639.0,8643.0,8701.0,9961.0
Araucanía,Primera,0.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,943.0,13339.0,22450.0,30504.0,31633.0,31633.0,42800.0,57170.0,71988.0,86218.0,100084.0,102210.0,102211.0,118604.0,132700.0,143327.0,152394.0,160686.0,161066.0,161066.0,168543.0,175353.0,181117.0,185980.0,191095.0,191708.0,191708.0,199216.0,209385.0,211831.0
Araucanía,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,703.0,716.0,716.0,716.0,717.0,1023.0,4913.0
Los Lagos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,542.0,542.0,543.0,543.0,543.0,543.0,543.0,543.0,802.0,9737.0,18272.0,26902.0,30482.0,31168.0,44010.0,56924.0,69868.0,81982.0,93276.0,96415.0,96538.0,110621.0,121306.0,128999.0,135666.0,141986.0,142372.0,142379.0,147982.0,153228.0,158277.0,163226.0,168694.0,169035.0,169035.0,175056.0,181723.0,183393.0
Los Lagos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,501.0,530.0,530.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,538.0,539.0,539.0,539.0,837.0,1594.0,4429.0
Los Ríos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,772.0,5510.0,10185.0,14556.0,15121.0,15638.0,21077.0,27972.0,35098.0,42178.0,47562.0,48368.0,48811.0,54403.0,58259.0,61599.0,64583.0,67375.0,67446.0,67500.0,70496.0,72962.0,75093.0,77013.0,78568.0,78587.0,78588.0,80589.0,84365.0,85252.0
Los Ríos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,593.0,1885.0
Magallanes,Primera,0.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,222.0,3604.0,6708.0,8978.0,9014.0,9014.0,12175.0,15489.0,20123.0,23641.0,26688.0,26694.0,26700.0,30306.0,32686.0,35280.0,37040.0,38759.0,38961.0,38971.0,39819.0,40539.0,41451.0,42447.0,43285.0,43369.0,43369.0,45535.0,47927.0,48509.0
Magallanes,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,157.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,165.0,165.0,165.0,165.0,165.0,210.0,1190.0
Tarapacá,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,334.0,2497.0,4507.0,6920.0,7459.0,7459.0,10851.0,14853.0,19662.0,23977.0,28192.0,28363.0,28363.0,33594.0,38429.0,41909.0,44111.0,46251.0,46360.0,46360.0,47935.0,49646.0,52019.0,54163.0,55673.0,55746.0,55746.0,57646.0,59556.0,60104.0
Tarapacá,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,158.0,158.0,158.0,159.0,159.0,159.0,159.0,159.0,291.0,1165.0
Valparaíso,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1424.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,3092.0,19400.0,37384.0,56739.0,58023.0,58061.0,85835.0,116123.0,149372.0,180600.0,208414.0,209743.0,209743.0,243510.0,273256.0,297646.0,318230.0,336793.0,337471.0,337584.0,348945.0,358077.0,365879.0,374514.0,384105.0,387758.0,387774.0,401054.0,419027.0,425200.0
Valparaíso,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,1424.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1431.0,1438.0,1454.0,1455.0,1455.0,1456.0,2912.0,8403.0
Ñuble,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719.0,5437.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7824.0,13467.0,20162.0,26349.0,26584.0,26700.0,33879.0,41714.0,50781.0,61140.0,69968.0,70264.0,70514.0,78009.0,84363.0,90257.0,95405.0,99741.0,99940.0,99940.0,104001.0,107807.0,111087.0,114371.0,117026.0,117080.0,117138.0,120648.0,124606.0,125442.0
Ñuble,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,5686.0,7652.0,7699.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7706.0,7709.0,7721.0,7730.0,7734.0,7734.0,7734.0,7738.0,7858.0,9421.0
Biobío,Primera,0.0,1388.0,2044.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2092.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,6313.0,28197.0,46613.0,63038.0,67191.0,69815.0,93210.0,120577.0,152041.0,180749.0,202653.0,205890.0,207169.0,228416.0,245275.0,259674.0,270525.0,280436.0,281574.0,281966.0,290470.0,298197.0,305953.0,315175.0,321939.0,322287.0,322445.0,333804.0,347056.0,350458.0
Biobío,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1421.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1995.0,2076.0,2113.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2120.0,2120.0,2120.0,2120.0,2120.0,2120.0,2128.0,4546.0,10513.0
O’Higgins,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2190.0,7902.0,10258.0,11555.0,11630.0,11630.0,11630.0,11630.0,11630.0,11630.0,11630.0,11630.0,11630.0,11630.0,11630.0,11873.0,18933.0,28290.0,37169.0,38287.0,38347.0,48189.0,57565.0,70684.0,81806.0,92915.0,94128.0,94148.0,109242.0,122236.0,133555.0,142585.0,150301.0,150732.0,150744.0,157053.0,162531.0,167442.0,172302.0,176056.0,176380.0,176380.0,185838.0,195625.0,198612.0
O’Higgins,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2543.0,8026.0,10205.0,11350.0,11432.0,11432.0,11432.0,11432.0,11432.0,11432.0,11432.0,11432.0,11432.0,11432.0,11440.0,11443.0,11457.0,11464.0,11476.0,11476.0,11476.0,11493.0,11762.0,14176.0
Maule,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,1670.0,14304.0,26605.0,39827.0,43715.0,46300.0,60957.0,75972.0,92471.0,107442.0,120119.0,121563.0,122149.0,136212.0,149178.0,160780.0,169863.0,178802.0,179173.0,179337.0,186479.0,192890.0,198758.0,204532.0,210964.0,211243.0,211249.0,218810.0,227934.0,229754.0
Maule,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,501.0,504.0,504.0,504.0,509.0,509.0,509.0,514.0,1398.0,4558.0
Metropolitana,Primera,420.0,2935.0,5419.0,5715.0,5715.0,5715.0,5715.0,5715.0,5715.0,5715.0,5715.0,5820.0,5820.0,5820.0,5820.0,5820.0,5820.0,5820.0,5820.0,5820.0,5820.0,7070.0,7943.0,7966.0,7966.0,7966.0,7966.0,7966.0,7982.0,7992.0,7992.0,7992.0,7998.0,8008.0,8008.0,8008.0,8008.0,8008.0,8008.0,8008.0,12104.0,71854.0,135151.0,197705.0,208027.0,209949.0,293483.0,384483.0,485963.0,576975.0,663853.0,677694.0,679434.0,783674.0,869231.0,943549.0,1004624.0,1061015.0,1066277.0,1066682.0,1104014.0,1134650.0,1162670.0,1190587.0,1214479.0,1218276.0,1218388.0,1275193.0,1337815.0,1357783.0
Metropolitana,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,3550.0,5473.0,5540.0,5540.0,5540.0,5541.0,5541.0,5541.0,5541.0,5541.0,5541.0,5652.0,5653.0,5653.0,5653.0,5653.0,5653.0,5653.0,5653.0,5653.0,5653.0,6923.0,7587.0,7592.0,7592.0,7602.0,7752.0,7810.0,7825.0,7836.0,7836.0,7836.0,7836.0,7846.0,7846.0,7846.0,7846.0,7846.0,7846.0,7848.0,7848.0,7851.0,7880.0,7894.0,7895.0,7895.0,7936.0,11614.0,29952.0
