Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24
Coquimbo,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2495.0,6198.0,8197.0,8705.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,12770.0,17625.0,22452.0,22460.0,22460.0,30286.0,39150.0,49228.0,58782.0,67617.0,68098.0,68098.0,79289.0,88131.0,96181.0,103095.0,109571.0,109615.0,109620.0,115831.0,121092.0,125676.0,130491.0,134449.0,134584.0,134584.0,142041.0,150044.0,157552.0,163884.0,169410.0,169460.0,169460.0,175443.0,181628.0,187314.0,193799.0,199428.0,199633.0,199633.0,206004.0,212577.0,218263.0,223733.0,229117.0,229213.0,229213.0,235161.0,240817.0,246320.0
Coquimbo,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2763.0,6430.0,8040.0,8542.0,8554.0,8588.0,8588.0,8588.0,8588.0,8588.0,8588.0,8588.0,8588.0,8588.0,8590.0,8594.0,8607.0,8636.0,8639.0,8639.0,8639.0,8643.0,8707.0,12358.0,16828.0,21340.0,21359.0,21360.0,28759.0,37237.0,47244.0,56475.0,64946.0,65302.0,65304.0,77245.0,87325.0,96747.0,105502.0,112817.0,112856.0,112859.0,119991.0,124066.0,126635.0
Araucanía,Primera,0.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,946.0,13340.0,22450.0,30504.0,31633.0,31635.0,42808.0,57235.0,72085.0,86318.0,100198.0,102273.0,102274.0,118680.0,132778.0,143399.0,152468.0,160765.0,161146.0,161146.0,168625.0,175438.0,181202.0,186066.0,191183.0,191796.0,191797.0,199316.0,209507.0,217972.0,225488.0,232521.0,232931.0,232931.0,240888.0,248717.0,256721.0,266707.0,275878.0,276576.0,276576.0,285573.0,294953.0,303313.0,311104.0,318716.0,319140.0,319140.0,326406.0,333460.0,340429.0
Araucanía,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,703.0,716.0,716.0,716.0,717.0,1025.0,12142.0,20922.0,28650.0,29849.0,29853.0,40687.0,54183.0,68587.0,82385.0,96175.0,98093.0,98101.0,114846.0,130163.0,141980.0,152069.0,161611.0,161908.0,161908.0,169488.0,175136.0,179832.0
Los Lagos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,542.0,542.0,543.0,543.0,543.0,543.0,543.0,543.0,802.0,9742.0,18287.0,26912.0,30496.0,31182.0,44059.0,57030.0,70059.0,82187.0,93494.0,96636.0,96760.0,110861.0,121558.0,129255.0,135954.0,142287.0,142673.0,142680.0,148288.0,153538.0,158599.0,163552.0,169022.0,169360.0,169360.0,175413.0,182072.0,188536.0,194264.0,199442.0,200224.0,200335.0,206273.0,212720.0,218830.0,225842.0,232536.0,234006.0,234021.0,241158.0,249250.0,255996.0,262675.0,267963.0,268891.0,268899.0,274799.0,281714.0,288727.0
Los Lagos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,501.0,530.0,530.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,538.0,539.0,539.0,539.0,839.0,1569.0,9646.0,17657.0,25502.0,28393.0,28709.0,40836.0,53083.0,65579.0,77597.0,88465.0,91386.0,91451.0,105697.0,118692.0,128272.0,136881.0,143593.0,143987.0,143998.0,151391.0,156923.0,160521.0
Los Ríos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,770.0,5511.0,10191.0,14574.0,15140.0,15657.0,21112.0,28010.0,35141.0,42233.0,47637.0,48445.0,48888.0,54485.0,58344.0,61682.0,64672.0,67467.0,67540.0,67594.0,70588.0,73050.0,75184.0,77104.0,78660.0,78679.0,78680.0,80684.0,84529.0,88718.0,92178.0,95020.0,95173.0,95208.0,98681.0,102437.0,105719.0,109928.0,113020.0,113169.0,113299.0,116906.0,120783.0,123908.0,126371.0,129126.0,129259.0,129460.0,132736.0,135840.0,138746.0
Los Ríos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,616.0,4864.0,9314.0,13703.0,14211.0,14592.0,19743.0,26481.0,33416.0,40366.0,45563.0,46363.0,46835.0,52705.0,57747.0,61917.0,65523.0,68645.0,68788.0,68841.0,72006.0,73978.0,75177.0
Magallanes,Primera,0.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,222.0,3607.0,6713.0,8986.0,9022.0,9022.0,12184.0,15502.0,20138.0,23656.0,26710.0,26716.0,26722.0,30333.0,32715.0,35310.0,37070.0,38790.0,38992.0,39002.0,39850.0,40570.0,41483.0,42479.0,43317.0,43405.0,43405.0,45572.0,47964.0,50157.0,51917.0,53447.0,53456.0,53460.0,54720.0,56019.0,57235.0,58911.0,60162.0,60166.0,60167.0,61620.0,63421.0,64699.0,66128.0,67521.0,67534.0,67545.0,69125.0,70545.0,71988.0
Magallanes,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,157.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,165.0,165.0,165.0,165.0,165.0,210.0,3311.0,6243.0,8470.0,8516.0,8518.0,11639.0,14746.0,19180.0,22711.0,25738.0,25750.0,25757.0,29347.0,32042.0,35145.0,37418.0,39280.0,39292.0,39294.0,40183.0,41032.0,41466.0
