Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26
Coquimbo,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2496.0,6199.0,8198.0,8706.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,12771.0,17623.0,22450.0,22458.0,22458.0,30307.0,39189.0,49270.0,58822.0,67657.0,68138.0,68138.0,79330.0,88172.0,96222.0,103140.0,109620.0,109664.0,109669.0,115881.0,121141.0,125797.0,130613.0,134574.0,134710.0,134710.0,142170.0,150183.0,157758.0,164121.0,169679.0,169730.0,169730.0,175730.0,181982.0,187685.0,194201.0,199886.0,200092.0,200092.0,206490.0,213171.0,218960.0,224607.0,230075.0,230177.0,230177.0,236183.0,242043.0,248178.0,254528.0,261273.0,261706.0,261706.0,267579.0,273124.0,278172.0,283772.0,283781.0,283781.0,283783.0,287711.0,292316.0,296675.0,300531.0,304051.0,304142.0,304142.0,307931.0,311392.0,314742.0,317614.0,320538.0,320618.0,320618.0,323237.0,325365.0,327319.0,330012.0,332203.0,332298.0,332299.0,334572.0
Coquimbo,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2764.0,6433.0,8045.0,8548.0,8560.0,8594.0,8594.0,8594.0,8594.0,8594.0,8594.0,8594.0,8594.0,8594.0,8596.0,8600.0,8613.0,8642.0,8645.0,8645.0,8645.0,8649.0,8713.0,12389.0,16979.0,21492.0,21511.0,21512.0,28946.0,37510.0,47542.0,56791.0,65362.0,65718.0,65720.0,77775.0,87966.0,97555.0,106578.0,113990.0,114038.0,114041.0,121270.0,125484.0,128609.0,131077.0,133488.0,133566.0,133567.0,139195.0,146252.0,153365.0,159910.0,160012.0,160014.0,160017.0,169713.0,176515.0,182348.0,189178.0,194473.0,194643.0,194644.0,201003.0,207249.0,212851.0,218219.0,223432.0,223527.0,223530.0,229881.0,235377.0,241160.0,246859.0,252682.0,252942.0,252944.0,258210.0
Araucanía,Primera,0.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,946.0,13337.0,22447.0,30501.0,31630.0,31632.0,42805.0,57202.0,72077.0,86308.0,100187.0,102262.0,102263.0,118666.0,132763.0,143384.0,152453.0,160749.0,161131.0,161131.0,168609.0,175424.0,181191.0,186056.0,191177.0,191791.0,191792.0,199315.0,209509.0,217982.0,225509.0,232550.0,232961.0,232961.0,240923.0,248756.0,256765.0,266765.0,275949.0,276648.0,276648.0,285664.0,295052.0,303422.0,311224.0,318845.0,319269.0,319269.0,326541.0,333660.0,341023.0,348136.0,355290.0,355579.0,355579.0,362696.0,368775.0,374178.0,380159.0,380176.0,380194.0,380194.0,384003.0,388611.0,393288.0,397013.0,400591.0,400754.0,400754.0,404101.0,408288.0,412008.0,415011.0,417855.0,417977.0,417977.0,420612.0,423386.0,425484.0,428505.0,430972.0,431392.0,431413.0,433732.0
Araucanía,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,703.0,716.0,716.0,716.0,717.0,1025.0,12145.0,20927.0,28658.0,29857.0,29861.0,40696.0,54196.0,68605.0,82409.0,96204.0,98124.0,98132.0,114877.0,130195.0,142012.0,152103.0,161649.0,161947.0,161948.0,169532.0,175278.0,180293.0,184119.0,187711.0,187788.0,187788.0,194616.0,203844.0,211804.0,219954.0,220318.0,220334.0,220334.0,232667.0,240909.0,248917.0,258582.0,267082.0,267405.0,267408.0,276541.0,285736.0,294054.0,301647.0,309238.0,309547.0,309549.0,317068.0,324182.0,331168.0,337833.0,344516.0,344844.0,344848.0,351576.0
Los Lagos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,542.0,542.0,543.0,543.0,543.0,543.0,543.0,543.0,802.0,9742.0,18286.0,26911.0,30495.0,31181.0,44057.0,57029.0,70060.0,82192.0,93500.0,96642.0,96766.0,110869.0,121567.0,129266.0,135968.0,142302.0,142688.0,142695.0,148303.0,153553.0,158616.0,163571.0,169043.0,169381.0,169381.0,175437.0,182101.0,188566.0,194299.0,199545.0,200325.0,200436.0,206396.0,212853.0,218966.0,226037.0,232748.0,234227.0,234242.0,241385.0,249566.0,256387.0,263118.0,268428.0,269356.0,269364.0,275335.0,282289.0,289893.0,297358.0,304139.0,304690.0,304690.0,310497.0,316481.0,322758.0,329323.0,329328.0,329335.0,329335.0,333268.0,337954.0,342398.0,345464.0,348322.0,348463.0,348463.0,351486.0,355422.0,359479.0,362980.0,365639.0,365825.0,365825.0,366418.0,367066.0,367621.0,368884.0,370496.0,370670.0,370670.0,373292.0
Los Lagos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,501.0,530.0,530.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,538.0,539.0,539.0,539.0,839.0,1569.0,9652.0,17669.0,25547.0,28438.0,28755.0,40937.0,53189.0,65708.0,77816.0,88697.0,91659.0,91724.0,105981.0,118990.0,128646.0,137325.0,144041.0,144436.0,144447.0,151917.0,157527.0,161524.0,164510.0,166899.0,166937.0,166937.0,171514.0,177068.0,183451.0,189937.0,189949.0,189954.0,189955.0,198770.0,205098.0,211212.0,216663.0,222618.0,222888.0,222891.0,231371.0,239679.0,246865.0,253468.0,258367.0,258563.0,258565.0,265026.0,272160.0,279811.0,286325.0,292152.0,292381.0,292381.0,298167.0
Los Ríos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,770.0,5511.0,10191.0,14574.0,15140.0,15657.0,21112.0,28010.0,35140.0,42234.0,47638.0,48446.0,48889.0,54486.0,58346.0,61684.0,64674.0,67469.0,67542.0,67596.0,70590.0,73052.0,75189.0,77110.0,78666.0,78685.0,78686.0,80689.0,84538.0,88733.0,92198.0,95048.0,95204.0,95239.0,98719.0,102476.0,105762.0,109981.0,113084.0,113233.0,113364.0,116983.0,120869.0,123996.0,126469.0,129229.0,129362.0,129563.0,132853.0,135968.0,139203.0,143135.0,147165.0,147325.0,147329.0,150543.0,153002.0,155386.0,157949.0,158076.0,158202.0,158269.0,159783.0,161459.0,162983.0,164765.0,166764.0,166932.0,166979.0,168408.0,170004.0,172036.0,173773.0,175502.0,175882.0,175883.0,176711.0,177743.0,178546.0,179483.0,180051.0,180126.0,180132.0,180651.0
Los Ríos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,616.0,4868.0,9319.0,13711.0,14219.0,14600.0,19757.0,26500.0,33441.0,40394.0,45606.0,46406.0,46878.0,52749.0,57798.0,62019.0,65667.0,68807.0,68950.0,69004.0,72177.0,74165.0,75518.0,76794.0,77783.0,77817.0,77819.0,79190.0,82444.0,86182.0,90333.0,90602.0,90710.0,90743.0,95335.0,99148.0,102369.0,106150.0,109522.0,109666.0,109761.0,113171.0,116743.0,119935.0,122492.0,125100.0,125314.0,125512.0,128580.0,131699.0,134807.0,138079.0,140812.0,141016.0,141020.0,144051.0
Magallanes,Primera,0.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,222.0,3607.0,6714.0,8986.0,9022.0,9022.0,12184.0,15501.0,20136.0,23654.0,26707.0,26713.0,26719.0,30330.0,32711.0,35307.0,37067.0,38787.0,38989.0,38999.0,39847.0,40567.0,41480.0,42478.0,43316.0,43404.0,43404.0,45572.0,47964.0,50158.0,51918.0,53450.0,53459.0,53463.0,54724.0,56023.0,57240.0,58917.0,60170.0,60174.0,60215.0,61673.0,63475.0,64758.0,66189.0,67590.0,67603.0,67614.0,69196.0,70622.0,72186.0,73550.0,75482.0,75493.0,75495.0,76859.0,78113.0,79380.0,80746.0,80747.0,80747.0,80747.0,81612.0,82904.0,84201.0,85209.0,85974.0,85977.0,85979.0,86950.0,87795.0,88791.0,89730.0,90552.0,90555.0,90555.0,91203.0,91941.0,92463.0,93224.0,93563.0,93564.0,93564.0,93662.0
Magallanes,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,157.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,165.0,165.0,165.0,165.0,165.0,210.0,3312.0,6246.0,8474.0,8520.0,8522.0,11645.0,14755.0,19190.0,22723.0,25750.0,25762.0,25769.0,29360.0,32052.0,35158.0,37433.0,39297.0,39309.0,39311.0,40200.0,41049.0,41490.0,42114.0,42657.0,42666.0,42666.0,44258.0,46842.0,48980.0,50830.0,50831.0,50835.0,50837.0,52778.0,54304.0,55544.0,57066.0,58265.0,58272.0,58274.0,59468.0,60967.0,62369.0,63760.0,65308.0,65322.0,65324.0,66686.0,68316.0,69860.0,70974.0,71971.0,71974.0,71974.0,72906.0
