Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18
Coquimbo,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2495.0,6198.0,8197.0,8705.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,12770.0,17625.0,22451.0,22459.0,22459.0,30283.0,39147.0,49225.0,58778.0,67614.0,68095.0,68095.0,79284.0,88126.0,96175.0,103088.0,109555.0,109599.0,109604.0,115810.0,121069.0,125650.0,130463.0,134421.0,134556.0,134556.0,142010.0,149960.0,157467.0,163800.0,169321.0,169371.0,169371.0,175346.0,181523.0,187191.0,193667.0,199287.0,199492.0,199492.0,205849.0,212415.0,218001.0,223152.0
Coquimbo,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2762.0,6429.0,8039.0,8541.0,8553.0,8587.0,8587.0,8587.0,8587.0,8587.0,8587.0,8587.0,8587.0,8587.0,8589.0,8593.0,8606.0,8635.0,8638.0,8638.0,8638.0,8642.0,8706.0,12357.0,16827.0,21337.0,21356.0,21357.0,28748.0,37216.0,47213.0,56441.0,64910.0,65266.0,65268.0,77202.0,87269.0,96555.0,104781.0
Araucanía,Primera,0.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,946.0,13340.0,22450.0,30505.0,31634.0,31636.0,42809.0,57236.0,72086.0,86319.0,100199.0,102274.0,102275.0,118681.0,132780.0,143400.0,152468.0,160760.0,161141.0,161141.0,168618.0,175428.0,181193.0,186057.0,191173.0,191786.0,191787.0,199306.0,209496.0,217961.0,225477.0,232504.0,232914.0,232914.0,240868.0,248696.0,256700.0,266685.0,275855.0,276553.0,276553.0,285538.0,294899.0,303218.0,310367.0
Araucanía,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,703.0,716.0,716.0,716.0,717.0,1025.0,12141.0,20921.0,28646.0,29845.0,29849.0,40683.0,54178.0,68580.0,82375.0,96165.0,98083.0,98091.0,114826.0,130130.0,141879.0,151108.0
Los Lagos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,542.0,542.0,543.0,543.0,543.0,543.0,543.0,543.0,802.0,9742.0,18287.0,26912.0,30495.0,31181.0,44059.0,57026.0,70054.0,82182.0,93490.0,96581.0,96705.0,110806.0,121503.0,129198.0,135889.0,142209.0,142595.0,142602.0,148207.0,153453.0,158509.0,163462.0,168927.0,169265.0,169265.0,175318.0,181976.0,188407.0,194128.0,199304.0,200086.0,200197.0,206133.0,212580.0,218665.0,225673.0,232357.0,233827.0,233842.0,240955.0,249036.0,255728.0,261759.0
Los Lagos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,501.0,530.0,530.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,538.0,539.0,539.0,539.0,839.0,1569.0,9646.0,17645.0,25485.0,28373.0,28689.0,40814.0,53030.0,65524.0,77516.0,88373.0,91210.0,91275.0,105441.0,118438.0,127891.0,135537.0
Los Ríos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,770.0,5511.0,10191.0,14574.0,15140.0,15657.0,21111.0,28009.0,35141.0,42233.0,47637.0,48445.0,48888.0,54485.0,58343.0,61681.0,64671.0,67464.0,67537.0,67591.0,70585.0,73047.0,75181.0,77101.0,78657.0,78676.0,78677.0,80678.0,84523.0,88712.0,92172.0,95014.0,95167.0,95202.0,98672.0,102423.0,105703.0,109909.0,112997.0,113146.0,113276.0,116778.0,120439.0,123558.0,125748.0
Los Ríos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,616.0,4864.0,9314.0,13701.0,14208.0,14589.0,19728.0,26454.0,33386.0,40331.0,45523.0,46323.0,46795.0,52482.0,57473.0,61610.0,64861.0
Magallanes,Primera,0.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,222.0,3607.0,6713.0,8985.0,9021.0,9021.0,12183.0,15501.0,20138.0,23656.0,26708.0,26714.0,26720.0,30331.0,32713.0,35308.0,37068.0,38787.0,38989.0,38999.0,39847.0,40567.0,41479.0,42475.0,43313.0,43398.0,43398.0,45565.0,47957.0,50148.0,51908.0,53438.0,53447.0,53451.0,54711.0,56011.0,57227.0,58902.0,60152.0,60156.0,60157.0,61610.0,63410.0,64659.0,65965.0
Magallanes,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,157.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,165.0,165.0,165.0,165.0,165.0,210.0,3311.0,6242.0,8467.0,8513.0,8515.0,11636.0,14744.0,19178.0,22709.0,25735.0,25747.0,25754.0,29342.0,32036.0,35095.0,37326.0
Tarapacá,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,334.0,2496.0,4512.0,6928.0,7469.0,7469.0,10864.0,14866.0,19680.0,23996.0,28214.0,28385.0,28385.0,33619.0,38455.0,41936.0,44139.0,46279.0,46388.0,46388.0,47963.0,49675.0,52048.0,54194.0,55704.0,55777.0,55777.0,57677.0,59587.0,61288.0,63069.0,65065.0,65175.0,65175.0,67055.0,68784.0,70354.0,72479.0,74635.0,74837.0,74837.0,77123.0,79656.0,82005.0,84260.0
Tarapacá,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,158.0,158.0,158.0,159.0,159.0,159.0,159.0,159.0,291.0,2216.0,4141.0,6409.0,6917.0,6917.0,10145.0,14039.0,18574.0,22654.0,26775.0,26978.0,26978.0,32033.0,37435.0,42303.0,45782.0
Valparaíso,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1424.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,3092.0,19408.0,37406.0,56781.0,58067.0,58105.0,85899.0,116221.0,149499.0,180747.0,208591.0,209921.0,209921.0,243714.0,273476.0,297886.0,318535.0,337053.0,337731.0,337844.0,349206.0,358339.0,366143.0,374778.0,384373.0,388026.0,388042.0,401324.0,419603.0,440123.0,459042.0,476848.0,477148.0,477148.0,493172.0,508589.0,524222.0,545350.0,562952.0,564174.0,564174.0,580509.0,598839.0,615922.0,633097.0
Valparaíso,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,1424.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1431.0,1438.0,1454.0,1455.0,1455.0,1456.0,2915.0,18098.0,35312.0,53869.0,54992.0,54999.0,81781.0,111282.0,143468.0,173671.0,200639.0,201655.0,201667.0,234610.0,266922.0,294046.0,318557.0
