Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23
Coquimbo,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2497.0,6201.0,8199.0,8707.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,12772.0,17624.0,22449.0,22457.0,22457.0,30305.0,39188.0,49267.0,58820.0,67654.0,68135.0,68135.0,79327.0,88169.0,96219.0,103137.0,109617.0,109661.0,109666.0,115877.0,121135.0,125791.0,130607.0,134568.0,134704.0,134704.0,142161.0,150174.0,157746.0,164109.0,169667.0,169719.0,169719.0,175717.0,181965.0,187662.0,194173.0,199855.0,200061.0,200061.0,206444.0,213110.0,218879.0,224497.0,229765.0,229867.0,229867.0,235704.0,241494.0,247593.0,253905.0,260621.0,261054.0,261054.0,266893.0,272417.0,277455.0,283045.0,283054.0,283054.0,283056.0,286969.0,291563.0,295905.0,299762.0,303285.0,303374.0,303374.0,307148.0,310591.0,313935.0,316806.0,319730.0,319811.0,319811.0,322415.0,324533.0,326468.0,329163.0,331330.0,331425.0,331426.0,333753.0,336030.0,338358.0,340532.0,342467.0,342482.0,342482.0,346071.0,349786.0,353542.0,357071.0,360615.0,360778.0,360778.0,365311.0,370095.0,374560.0,378842.0,383008.0,383034.0,383034.0,387887.0,393567.0,398482.0,403796.0,403808.0,404023.0,404027.0
Coquimbo,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2759.0,6440.0,8055.0,8558.0,8570.0,8604.0,8604.0,8604.0,8604.0,8604.0,8604.0,8604.0,8604.0,8604.0,8606.0,8610.0,8623.0,8652.0,8655.0,8655.0,8655.0,8659.0,8723.0,12401.0,16992.0,21504.0,21523.0,21524.0,28960.0,37524.0,47556.0,56816.0,65390.0,65747.0,65749.0,77804.0,87995.0,97585.0,106609.0,114023.0,114071.0,114074.0,121300.0,125515.0,128641.0,131109.0,133521.0,133599.0,133600.0,139231.0,146289.0,153400.0,159962.0,160064.0,160066.0,160069.0,169767.0,176565.0,182396.0,189223.0,194519.0,194691.0,194692.0,201037.0,207284.0,212886.0,218246.0,223365.0,223460.0,223463.0,229601.0,235029.0,240778.0,246463.0,252272.0,252534.0,252536.0,257992.0,262671.0,268462.0,273822.0,275379.0,275381.0,275386.0,278934.0,282999.0,287394.0,291086.0,294502.0,294549.0,294552.0,298165.0,301686.0,305012.0,307881.0,310485.0,310513.0,310515.0,313124.0,315555.0,317636.0,320369.0,320374.0,320427.0,320429.0
Araucanía,Primera,0.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,946.0,13333.0,22444.0,30498.0,31627.0,31629.0,42802.0,57200.0,72075.0,86306.0,100184.0,102259.0,102260.0,118662.0,132759.0,143381.0,152450.0,160746.0,161128.0,161128.0,168606.0,175420.0,181187.0,186050.0,191169.0,191782.0,191783.0,199303.0,209492.0,217965.0,225488.0,232528.0,232939.0,232939.0,240897.0,248727.0,256732.0,266729.0,275911.0,276610.0,276610.0,285618.0,294983.0,303322.0,311107.0,318688.0,319112.0,319112.0,326196.0,333172.0,340453.0,347510.0,354629.0,354918.0,354918.0,362006.0,368060.0,373451.0,379421.0,379438.0,379456.0,379456.0,383249.0,387848.0,392513.0,396222.0,399794.0,399957.0,399957.0,403294.0,407467.0,411162.0,414131.0,416945.0,417067.0,417067.0,419694.0,422470.0,424562.0,427576.0,430037.0,430451.0,430472.0,432923.0,435409.0,437952.0,439872.0,442513.0,442537.0,442537.0,446423.0,450739.0,454815.0,458790.0,462874.0,463424.0,463424.0,468526.0,474086.0,479439.0,484135.0,489201.0,489231.0,489239.0,494231.0,499793.0,505190.0,511287.0,512336.0,513710.0,513710.0
Araucanía,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,703.0,716.0,716.0,716.0,717.0,1026.0,12145.0,20927.0,28657.0,29856.0,29860.0,40695.0,54196.0,68605.0,82411.0,96204.0,98124.0,98132.0,114876.0,130194.0,142011.0,152102.0,161647.0,161944.0,161945.0,169526.0,175274.0,180292.0,184120.0,187711.0,187788.0,187788.0,194616.0,203840.0,211802.0,219952.0,220316.0,220332.0,220332.0,232670.0,240915.0,248920.0,258584.0,267101.0,267424.0,267427.0,276558.0,285732.0,294029.0,301607.0,309167.0,309475.0,309477.0,316859.0,323834.0,330739.0,337360.0,344025.0,344354.0,344358.0,351427.0,357847.0,363483.0,368956.0,370441.0,370448.0,370449.0,373837.0,378015.0,382500.0,386156.0,389669.0,389837.0,389838.0,393243.0,397117.0,400745.0,403638.0,406118.0,406124.0,406125.0,408906.0,411817.0,414145.0,417840.0,418029.0,418325.0,418326.0
Los Lagos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,542.0,542.0,543.0,543.0,543.0,543.0,543.0,543.0,802.0,9742.0,18286.0,26911.0,30495.0,31181.0,44057.0,57029.0,70059.0,82188.0,93491.0,96634.0,96758.0,110860.0,121558.0,129256.0,135954.0,142288.0,142674.0,142681.0,148289.0,153538.0,158599.0,163554.0,169041.0,169379.0,169379.0,175428.0,182088.0,188552.0,194279.0,199524.0,200304.0,200415.0,206373.0,212829.0,218941.0,226007.0,232717.0,234196.0,234211.0,241335.0,249484.0,256280.0,262942.0,268194.0,269121.0,269129.0,274926.0,281742.0,289243.0,296650.0,303407.0,303953.0,303953.0,309732.0,315672.0,321918.0,328415.0,328420.0,328428.0,328428.0,332365.0,337019.0,341451.0,344492.0,347352.0,347493.0,347493.0,350503.0,354399.0,358405.0,361800.0,364385.0,364565.0,364565.0,365141.0,365786.0,366342.0,367591.0,369208.0,369382.0,369382.0,372126.0,375067.0,376937.0,378615.0,379867.0,379867.0,379867.0,383262.0,386928.0,390215.0,393505.0,396645.0,396979.0,396979.0,400819.0,405233.0,409767.0,414089.0,418400.0,418473.0,418473.0,423574.0,429124.0,434243.0,438946.0,438946.0,439061.0,439061.0
Los Lagos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,501.0,530.0,530.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,538.0,539.0,539.0,539.0,839.0,1569.0,9653.0,17670.0,25548.0,28439.0,28756.0,40942.0,53210.0,65729.0,77836.0,88722.0,91685.0,91750.0,106006.0,119018.0,128673.0,137350.0,144065.0,144460.0,144471.0,151937.0,157547.0,161544.0,164540.0,166929.0,166967.0,166967.0,171544.0,177103.0,183489.0,189973.0,189985.0,189990.0,189991.0,198832.0,205171.0,211289.0,216742.0,222698.0,222968.0,222971.0,231443.0,239860.0,247025.0,253585.0,258436.0,258632.0,258634.0,264978.0,271980.0,279548.0,286035.0,291893.0,292124.0,292127.0,298199.0,304164.0,309333.0,315505.0,317033.0,317033.0,317034.0,321204.0,325632.0,330037.0,333463.0,336226.0,336325.0,336325.0,339613.0,343713.0,347578.0,350845.0,353280.0,353303.0,353303.0,354716.0,355994.0,357212.0,358571.0,358573.0,358583.0,358583.0
Los Ríos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,770.0,5510.0,10190.0,14574.0,15140.0,15657.0,21112.0,28011.0,35137.0,42230.0,47633.0,48441.0,48884.0,54481.0,58341.0,61679.0,64669.0,67464.0,67537.0,67591.0,70585.0,73047.0,75183.0,77104.0,78660.0,78679.0,78680.0,80680.0,84524.0,88718.0,92183.0,95033.0,95189.0,95224.0,98704.0,102460.0,105746.0,109963.0,113065.0,113215.0,113346.0,116958.0,120836.0,123949.0,126405.0,129066.0,129199.0,129400.0,132627.0,135699.0,138907.0,142807.0,146828.0,146988.0,146992.0,150200.0,152648.0,155021.0,157575.0,157701.0,157827.0,157895.0,159402.0,161072.0,162592.0,164360.0,166344.0,166505.0,166554.0,167987.0,169576.0,171489.0,173151.0,174819.0,175177.0,175178.0,176006.0,177036.0,177832.0,178767.0,179336.0,179411.0,179417.0,179978.0,180427.0,180802.0,181312.0,182268.0,182402.0,182411.0,183476.0,184668.0,185951.0,187399.0,189067.0,189330.0,189330.0,190837.0,192518.0,194221.0,195741.0,197310.0,197361.0,197361.0,199026.0,201298.0,203785.0,206363.0,206887.0,207526.0,207558.0
Los Ríos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,616.0,4867.0,9318.0,13711.0,14219.0,14600.0,19757.0,26500.0,33442.0,40395.0,45607.0,46407.0,46879.0,52755.0,57804.0,62024.0,65673.0,68814.0,68957.0,69011.0,72182.0,74171.0,75524.0,76799.0,77788.0,77822.0,77824.0,79195.0,82450.0,86187.0,90335.0,90605.0,90713.0,90746.0,95338.0,99150.0,102369.0,106150.0,109522.0,109667.0,109762.0,113176.0,116740.0,119924.0,122471.0,125007.0,125220.0,125418.0,128446.0,131505.0,134588.0,137835.0,140566.0,140770.0,140774.0,144018.0,146749.0,148543.0,151714.0,152756.0,152854.0,152871.0,154153.0,155861.0,157654.0,159423.0,160956.0,161091.0,161092.0,162432.0,164225.0,166215.0,167824.0,169143.0,169167.0,169167.0,170144.0,171639.0,172711.0,173943.0,173992.0,174090.0,174093.0
Magallanes,Primera,0.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,222.0,3606.0,6713.0,8985.0,9021.0,9021.0,12183.0,15500.0,20134.0,23652.0,26705.0,26711.0,26717.0,30327.0,32706.0,35301.0,37061.0,38781.0,38983.0,38993.0,39841.0,40561.0,41474.0,42471.0,43309.0,43397.0,43397.0,45565.0,47956.0,50149.0,51909.0,53440.0,53449.0,53453.0,54714.0,56013.0,57230.0,58905.0,60158.0,60162.0,60203.0,61661.0,63461.0,64739.0,66158.0,67546.0,67559.0,67570.0,69194.0,70582.0,72133.0,73485.0,75411.0,75422.0,75424.0,76788.0,78030.0,79290.0,80653.0,80654.0,80654.0,80654.0,81525.0,82816.0,84114.0,85123.0,85890.0,85893.0,85896.0,86865.0,87706.0,88700.0,89623.0,90446.0,90449.0,90449.0,91100.0,91835.0,92356.0,93118.0,93459.0,93462.0,93462.0,93562.0,94186.0,94791.0,95020.0,95249.0,95249.0,95249.0,95766.0,96373.0,96949.0,97400.0,97963.0,97973.0,97973.0,98680.0,99617.0,100210.0,100851.0,101634.0,101635.0,101636.0,102362.0,103244.0,104296.0,105586.0,105637.0,105637.0,105637.0
Magallanes,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,157.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,165.0,165.0,165.0,165.0,165.0,210.0,3312.0,6246.0,8474.0,8520.0,8522.0,11646.0,14756.0,19191.0,22724.0,25751.0,25763.0,25770.0,29361.0,32052.0,35157.0,37433.0,39297.0,39309.0,39311.0,40200.0,41049.0,41489.0,42114.0,42657.0,42666.0,42666.0,44258.0,46841.0,48978.0,50828.0,50829.0,50833.0,50835.0,52777.0,54302.0,55542.0,57063.0,58262.0,58269.0,58271.0,59465.0,60977.0,62373.0,63781.0,65322.0,65336.0,65338.0,66720.0,68316.0,69844.0,70952.0,71951.0,71960.0,71960.0,72897.0,74355.0,75641.0,76681.0,77257.0,77261.0,77261.0,78200.0,79806.0,80652.0,82011.0,82876.0,82881.0,82881.0,83838.0,84851.0,85794.0,86590.0,87395.0,87396.0,87396.0,87865.0,88566.0,89330.0,90320.0,90325.0,90326.0,90326.0
Tarapacá,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,334.0,2496.0,4511.0,6927.0,7466.0,7466.0,10859.0,14861.0,19673.0,23989.0,28206.0,28377.0,28377.0,33610.0,38445.0,41926.0,44125.0,46270.0,46379.0,46379.0,47955.0,49668.0,52042.0,54190.0,55703.0,55776.0,55776.0,57678.0,59589.0,61288.0,63071.0,65067.0,65177.0,65177.0,67056.0,68782.0,70352.0,72476.0,74631.0,74833.0,74833.0,77118.0,79644.0,81994.0,84361.0,86865.0,87104.0,87104.0,89409.0,91807.0,94459.0,96672.0,99380.0,99484.0,99484.0,101934.0,104065.0,106044.0,107964.0,107992.0,108020.0,108060.0,109865.0,111984.0,114125.0,115797.0,117431.0,117579.0,117607.0,119665.0,121369.0,123180.0,124812.0,126807.0,127002.0,127059.0,129021.0,131078.0,132852.0,134287.0,135665.0,135906.0,135919.0,137352.0,138845.0,140665.0,141738.0,142842.0,142932.0,143037.0,144735.0,146142.0,147535.0,148750.0,150000.0,150677.0,150747.0,152334.0,153897.0,155506.0,156879.0,158452.0,158494.0,158498.0,160092.0,161708.0,163161.0,164663.0,164760.0,165454.0,165502.0
Tarapacá,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,158.0,158.0,158.0,159.0,159.0,159.0,159.0,159.0,291.0,2218.0,4144.0,6412.0,6920.0,6920.0,10149.0,14043.0,18578.0,22658.0,26779.0,26982.0,26982.0,32039.0,37443.0,42312.0,45965.0,48653.0,48815.0,48815.0,50679.0,51763.0,52725.0,53504.0,54376.0,54429.0,54429.0,56017.0,57716.0,59358.0,61486.0,61487.0,61487.0,61489.0,64440.0,66398.0,68191.0,70143.0,71760.0,71894.0,71896.0,74315.0,76826.0,79160.0,81320.0,83591.0,83762.0,83762.0,86281.0,88762.0,91195.0,92986.0,94826.0,94962.0,94963.0,97893.0,99930.0,101970.0,103857.0,104563.0,104587.0,104616.0,106266.0,108057.0,109522.0,111477.0,113011.0,113351.0,113351.0,115303.0,116969.0,118439.0,119961.0,121670.0,121671.0,121671.0,123685.0,125703.0,127691.0,129623.0,129667.0,129974.0,129983.0
Valparaíso,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1424.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,3093.0,19466.0,37523.0,56943.0,58229.0,58267.0,86139.0,116532.0,149896.0,181239.0,209162.0,210490.0,210490.0,244380.0,274232.0,298719.0,319421.0,338014.0,338693.0,338806.0,350199.0,359368.0,367211.0,375872.0,385482.0,389124.0,389140.0,402528.0,420863.0,441447.0,460404.0,478311.0,478613.0,478613.0,494742.0,510216.0,525897.0,547389.0,565195.0,566420.0,566420.0,582881.0,601328.0,618430.0,636765.0,653263.0,654370.0,654453.0,669564.0,683725.0,699285.0,715030.0,731552.0,731922.0,731950.0,748754.0,762802.0,775579.0,789433.0,789594.0,789786.0,789826.0,797691.0,807412.0,817134.0,824848.0,832437.0,833024.0,833142.0,842033.0,849144.0,857593.0,864183.0,871274.0,871673.0,871715.0,877549.0,882369.0,886322.0,893436.0,898425.0,898776.0,898806.0,904480.0,908432.0,913333.0,917334.0,921947.0,922004.0,922025.0,930212.0,938484.0,947212.0,955834.0,964371.0,965378.0,965434.0,975833.0,986937.0,997246.0,1007064.0,1017338.0,1017484.0,1017543.0,1029513.0,1042235.0,1053769.0,1065210.0,1065331.0,1067710.0,1067794.0
Valparaíso,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,1424.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1431.0,1438.0,1454.0,1455.0,1455.0,1456.0,2918.0,18171.0,35452.0,54071.0,55194.0,55201.0,82066.0,111664.0,144047.0,174583.0,201932.0,202947.0,202959.0,236031.0,268544.0,295870.0,321140.0,340282.0,340960.0,341036.0,355815.0,367609.0,374453.0,380090.0,384580.0,384666.0,384690.0,397146.0,413004.0,433257.0,455431.0,456008.0,456220.0,456241.0,480748.0,497337.0,512881.0,533806.0,551294.0,552097.0,552136.0,568519.0,585686.0,602715.0,620577.0,636573.0,637369.0,637460.0,653303.0,666966.0,681701.0,695629.0,710588.0,711047.0,711079.0,728119.0,741587.0,754646.0,767804.0,771295.0,771396.0,771453.0,778887.0,788000.0,797096.0,805058.0,812065.0,812485.0,812538.0,820707.0,828597.0,836751.0,842719.0,848799.0,848882.0,848919.0,854768.0,860526.0,865394.0,872687.0,872746.0,873196.0,873221.0
Ñuble,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719.0,5437.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7824.0,13474.0,20180.0,26377.0,26613.0,26729.0,33941.0,41785.0,50894.0,61266.0,70100.0,70395.0,70646.0,78142.0,84504.0,90419.0,95574.0,99911.0,100110.0,100110.0,104178.0,107990.0,111278.0,114564.0,117221.0,117275.0,117333.0,120852.0,124863.0,128413.0,131285.0,133662.0,133741.0,133777.0,138413.0,143459.0,148453.0,154473.0,159604.0,159810.0,160024.0,165897.0,171668.0,176423.0,180685.0,184682.0,184908.0,185114.0,188871.0,192905.0,196990.0,201028.0,205024.0,205068.0,205127.0,208937.0,212264.0,215364.0,219991.0,219992.0,219992.0,219992.0,223024.0,226251.0,229376.0,232310.0,235238.0,235460.0,235487.0,237426.0,238986.0,240236.0,241231.0,242456.0,242535.0,242549.0,243543.0,244529.0,245259.0,246569.0,247448.0,247484.0,247485.0,248722.0,249655.0,250766.0,251604.0,252435.0,252436.0,252436.0,254321.0,256306.0,258403.0,260258.0,262170.0,262418.0,262437.0,264747.0,267226.0,269743.0,271956.0,274346.0,274475.0,274573.0,276852.0,280635.0,285720.0,290909.0,291085.0,291454.0,291618.0
Ñuble,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,5686.0,7652.0,7699.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7706.0,7709.0,7721.0,7730.0,7734.0,7734.0,7734.0,7739.0,7860.0,13200.0,19580.0,25420.0,25555.0,25682.0,32907.0,40474.0,49403.0,59258.0,67694.0,68056.0,68299.0,76253.0,83321.0,89985.0,96001.0,100646.0,100685.0,100694.0,105310.0,108853.0,111589.0,113886.0,115710.0,115793.0,115807.0,118877.0,122433.0,125795.0,129241.0,129243.0,129243.0,129243.0,134775.0,139947.0,144871.0,150650.0,155641.0,155722.0,155776.0,161449.0,167128.0,171888.0,176051.0,180191.0,180382.0,180467.0,184413.0,188424.0,192243.0,196236.0,200036.0,200114.0,200141.0,204191.0,207751.0,210812.0,214863.0,215777.0,215778.0,215779.0,218463.0,221464.0,224604.0,227518.0,229968.0,230106.0,230115.0,232260.0,234239.0,235740.0,236938.0,238198.0,238248.0,238260.0,239267.0,240175.0,241097.0,242805.0,242819.0,242883.0,242888.0
Biobío,Primera,0.0,1388.0,2044.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2092.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,6316.0,28222.0,46733.0,63168.0,67332.0,69960.0,93393.0,120863.0,152396.0,181080.0,203030.0,206270.0,207549.0,228812.0,245698.0,260121.0,271046.0,280983.0,282122.0,282514.0,291023.0,298761.0,306525.0,315746.0,322527.0,322875.0,323033.0,334458.0,347754.0,361042.0,373162.0,383876.0,384513.0,384729.0,396576.0,409695.0,422301.0,439642.0,454759.0,457972.0,458845.0,473925.0,490010.0,504649.0,518186.0,530851.0,533520.0,534679.0,546491.0,558723.0,571434.0,583455.0,597722.0,598325.0,598350.0,611133.0,621815.0,632840.0,644131.0,644327.0,644400.0,644402.0,650561.0,658093.0,666124.0,672907.0,678470.0,679714.0,679934.0,686256.0,692252.0,698016.0,701948.0,705652.0,706033.0,706073.0,709555.0,712085.0,714326.0,718636.0,721675.0,722190.0,722310.0,725562.0,728355.0,731710.0,734062.0,738632.0,738747.0,739214.0,745638.0,752520.0,759097.0,765938.0,772231.0,773731.0,773950.0,781690.0,789785.0,797900.0,805208.0,812444.0,812453.0,812460.0,821328.0,830964.0,839520.0,847688.0,847691.0,850440.0,851055.0
