Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17
Coquimbo,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2495.0,6198.0,8197.0,8705.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,12770.0,17625.0,22451.0,22459.0,22459.0,30284.0,39147.0,49226.0,58779.0,67610.0,68091.0,68091.0,79280.0,88120.0,96126.0,103004.0,109451.0,109495.0,109500.0,115700.0,120959.0,125539.0,130349.0,134307.0,134442.0,134442.0,141896.0,149846.0,157353.0,163686.0,169199.0,169249.0,169249.0,175224.0,181399.0,187060.0,193525.0,199141.0,199346.0,199346.0,205650.0,211936.0,213670.0
Coquimbo,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2762.0,6429.0,8039.0,8541.0,8553.0,8587.0,8587.0,8587.0,8587.0,8587.0,8587.0,8587.0,8587.0,8587.0,8589.0,8593.0,8606.0,8635.0,8638.0,8638.0,8638.0,8642.0,8706.0,12356.0,16827.0,21249.0,21268.0,21269.0,28653.0,37120.0,47115.0,56334.0,64800.0,65156.0,65158.0,77000.0,86696.0,90284.0
Araucanía,Primera,0.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,946.0,13339.0,22450.0,30505.0,31634.0,31636.0,42809.0,57234.0,72084.0,86318.0,100197.0,102272.0,102273.0,118678.0,132776.0,143394.0,152461.0,160753.0,161134.0,161134.0,168611.0,175421.0,181185.0,186048.0,191163.0,191776.0,191777.0,199296.0,209486.0,217951.0,225467.0,232494.0,232904.0,232904.0,240857.0,248685.0,256686.0,266668.0,275837.0,276535.0,276535.0,285516.0,294815.0,296846.0
Araucanía,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,703.0,716.0,716.0,716.0,717.0,1024.0,12140.0,20920.0,28646.0,29845.0,29849.0,40683.0,54176.0,68580.0,82374.0,96163.0,98081.0,98089.0,114821.0,130080.0,133775.0
Los Lagos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,542.0,542.0,543.0,543.0,543.0,543.0,543.0,543.0,802.0,9742.0,18287.0,26911.0,30494.0,31180.0,44057.0,57025.0,70053.0,82179.0,93487.0,96578.0,96702.0,110803.0,121498.0,129192.0,135880.0,142200.0,142586.0,142593.0,148198.0,153444.0,158498.0,163449.0,168914.0,169252.0,169252.0,175305.0,181963.0,188394.0,194115.0,199290.0,200072.0,200183.0,206118.0,212564.0,218649.0,225655.0,232340.0,233810.0,233825.0,240936.0,248888.0,250634.0
Los Lagos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,501.0,530.0,530.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,538.0,539.0,539.0,539.0,839.0,1569.0,9646.0,17644.0,25484.0,28372.0,28688.0,40811.0,53027.0,65517.0,77505.0,88342.0,91175.0,91240.0,105393.0,118280.0,121302.0
Los Ríos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,770.0,5511.0,10191.0,14574.0,15140.0,15657.0,21113.0,28011.0,35143.0,42235.0,47639.0,48447.0,48890.0,54487.0,58345.0,61682.0,64672.0,67465.0,67538.0,67592.0,70586.0,73048.0,75182.0,77102.0,78658.0,78677.0,78678.0,80679.0,84524.0,88713.0,92173.0,95015.0,95168.0,95203.0,98672.0,102421.0,105700.0,109904.0,112992.0,113141.0,113266.0,116767.0,120386.0,121247.0
Los Ríos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,616.0,4864.0,9314.0,13701.0,14208.0,14589.0,19729.0,26447.0,33379.0,40324.0,45514.0,46314.0,46786.0,52471.0,57327.0,58653.0
Magallanes,Primera,0.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,222.0,3607.0,6713.0,8985.0,9021.0,9021.0,12183.0,15500.0,20137.0,23655.0,26707.0,26713.0,26719.0,30330.0,32712.0,35306.0,37066.0,38785.0,38987.0,38997.0,39845.0,40565.0,41477.0,42473.0,43311.0,43396.0,43396.0,45563.0,47955.0,50146.0,51906.0,53436.0,53445.0,53449.0,54709.0,56008.0,57224.0,58899.0,60149.0,60153.0,60154.0,61605.0,63245.0,63498.0
Magallanes,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,157.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,165.0,165.0,165.0,165.0,165.0,210.0,3311.0,6242.0,8467.0,8513.0,8515.0,11636.0,14744.0,19178.0,22709.0,25735.0,25747.0,25753.0,29342.0,32025.0,32945.0
