Coquimbo,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,1881.0,1992.0,6358.0,7909.0,8659.0,8744.0,6375.0,8136.0,9616.0,9266.0,9561.0,8523.0,9249.0,9801.0,10473.0,10790.0,11049.0,11137.0,11563.0,11669.0,11553.0,11012.0,10639.0,10474.0,10231.0,10055.0,10109.0,10473.0,9960.0,9621.0,9667.0,9326.0,9511.0,9840.0,10262.0,10001.0,9965.0,9851.0,9428.0,9531.0,9865.0,10181.0,9862.0,9890.0,9696.0,9484.0,9738.0,9105.0,9491.0,8617.0,8514.0,8109.0,7807.0,8022.0,7479.0,7211.0,6559.0,6083.0,5788.0,5348.0,5225.0,4801.0,4300.0,4485.0,4108.0,3899.0,3721.0,3302.0,22949.0
Coquimbo,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3735.0,1740.0,849.0,650.0,688.0,1774.0,1570.0,1047.0,745.0,690.0,615.0,643.0,583.0,574.0,543.0,505.0,457.0,463.0,425.0,407.0,372.0,392.0,388.0,319.0,315.0,282.0,286.0,280.0,257.0,263.0,203.0,223.0,183.0,200.0,167.0,192.0,160.0,150.0,158.0,160.0,129.0,125.0,81.0,12.0,10.0,4.0,3.0,4.0,3.0,1.0,2.0,3.0,5.0,2.0,1.0,2.0,3.0,2.0,2.0,0.0,2.0,0.0,1.0
Ignorada,Primera,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,3.0,0.0,1.0,2.0,0.0,2.0,1.0,3.0,0.0,2.0,2.0,4.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Ignorada,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,3.0,0.0,1.0,2.0,0.0,2.0,1.0,3.0,0.0,2.0,2.0,4.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Ignorada,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Araucanía,Primera,97.0,139.0,163.0,196.0,240.0,268.0,4733.0,6437.0,10281.0,11044.0,11456.0,11489.0,8359.0,10147.0,11654.0,11444.0,12148.0,12189.0,12479.0,12780.0,13599.0,13857.0,13928.0,14174.0,14500.0,14409.0,13856.0,13158.0,12567.0,12825.0,12370.0,12271.0,12908.0,12991.0,11863.0,11991.0,11363.0,11488.0,11456.0,12144.0,12790.0,12998.0,13076.0,12647.0,12925.0,12408.0,12591.0,12626.0,12743.0,12803.0,12484.0,12326.0,12067.0,11932.0,11826.0,10741.0,10513.0,10383.0,10247.0,9761.0,9056.0,8864.0,8420.0,7790.0,7288.0,6945.0,6757.0,6486.0,6092.0,5793.0,5444.0,4807.0,4743.0,4167.0,31556.0
Araucanía,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,912.0,1048.0,5135.0,7855.0,9269.0,9718.0,7428.0,9320.0,10781.0,10634.0,11203.0,11306.0,11640.0,11927.0,12747.0,12998.0,13154.0,13330.0,13719.0,13656.0,13125.0,12546.0,11968.0,12264.0,11845.0,11774.0,12357.0,12520.0,11442.0,11586.0,10979.0,11133.0,11130.0,11790.0,12460.0,12640.0,12753.0,12345.0,12651.0,12122.0,12284.0,12358.0,12467.0,12555.0,12228.0,12100.0,11847.0,11733.0,11617.0,10544.0,10367.0,10239.0,10066.0,9634.0,8927.0,8736.0,8293.0,7688.0,7188.0,6851.0,6697.0,6375.0,5996.0,5701.0,5350.0,4718.0,4658.0,4092.0,30870.0
Araucanía,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4800.0,2469.0,1346.0,1225.0,1427.0,1367.0,1122.0,1011.0,782.0,695.0,682.0,647.0,583.0,610.0,595.0,543.0,489.0,482.0,434.0,445.0,497.0,474.0,413.0,396.0,406.0,369.0,375.0,371.0,395.0,360.0,386.0,296.0,306.0,256.0,248.0,263.0,231.0,230.0,223.0,198.0,208.0,162.0,79.0,3.0,7.0,3.0,4.0,6.0,2.0,4.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0
O’Higgins,Primera,163.0,162.0,207.0,249.0,278.0,339.0,6142.0,7949.0,10126.0,11200.0,11782.0,11796.0,8296.0,10521.0,12161.0,12138.0,12590.0,11957.0,12469.0,12746.0,13655.0,13816.0,13999.0,14365.0,14937.0,15298.0,15003.0,14488.0,13875.0,13418.0,12967.0,12515.0,13327.0,13630.0,13107.0,12735.0,12179.0,12224.0,12383.0,13177.0,13049.0,13112.0,13172.0,12862.0,12428.0,11892.0,12755.0,13010.0,13226.0,13111.0,13022.0,13020.0,12775.0,12204.0,12198.0,11370.0,11038.0,10872.0,10321.0,9924.0,9292.0,9231.0,8422.0,7844.0,7438.0,7113.0,6892.0,6518.0,5971.0,5685.0,5269.0,4572.0,4350.0,3986.0,26986.0
O’Higgins,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,1089.0,1208.0,3999.0,7690.0,9865.0,10554.0,7609.0,9885.0,11419.0,11383.0,11836.0,11162.0,11659.0,11984.0,12878.0,13004.0,13223.0,13609.0,14225.0,14541.0,14348.0,13899.0,13337.0,12903.0,12463.0,12052.0,12902.0,13214.0,12694.0,12382.0,11883.0,11931.0,12086.0,12926.0,12755.0,12856.0,12931.0,12639.0,12216.0,11708.0,12573.0,12811.0,13042.0,12955.0,12863.0,12859.0,12627.0,12071.0,12073.0,11268.0,10946.0,10748.0,10224.0,9847.0,9202.0,9166.0,8360.0,7793.0,7403.0,7051.0,6848.0,6457.0,5923.0,5640.0,5225.0,4520.0,4295.0,3959.0,26577.0
